,Station,temp,rain_mm,rain_hrs,wind_spd,date
0,DeBilt,7.9,9.2,8.3,3,2018-05-01
1,DeBilt,10.9,0.2,1.4,3,2018-05-02
2,DeBilt,10.4,0.0,0.0,2,2018-05-03
3,DeBilt,11.9,0.0,0.0,2,2018-05-04
4,DeBilt,14.7,0.0,0.0,2,2018-05-05
5,DeBilt,17.2,0.0,0.0,2,2018-05-06
6,DeBilt,18.0,0.0,0.0,2,2018-05-07
7,DeBilt,19.1,0.0,0.0,2,2018-05-08
8,DeBilt,17.9,0.0,0.0,2,2018-05-09
9,DeBilt,9.1,0.0,0.0,2,2019-05-01
10,DeBilt,9.3,5.1,2.9,2,2019-05-02
11,DeBilt,8.0,2.4,4.8,2,2019-05-03
12,DeBilt,6.5,0.9,0.7,3,2019-05-04
13,DeBilt,6.7,0.6,0.8,2,2019-05-05
14,DeBilt,6.6,0.1,0.1,2,2019-05-06
15,DeBilt,8.1,0.2,0.3,2,2019-05-07
16,DeBilt,10.2,2.4,1.1,3,2019-05-08
17,DeBilt,12.4,3.2,1.7,2,2019-05-09
18,DeBilt,14.9,1.4,0.6,2,2020-08-29
19,DeBilt,15.3,5.7,2.7,3,2020-08-30
20,DeBilt,14.5,0.0,0.0,2,2020-08-31
21,DeBilt,13.5,0.0,0.0,2,2020-09-01
22,DeBilt,14.8,0.0,0.0,1,2020-09-02
23,DeBilt,16.3,12.2,11.0,3,2020-09-03
24,DeBilt,17.3,2.1,2.0,2,2020-09-04
25,DeBilt,14.8,8.6,2.4,2,2020-09-05
26,DeBilt,14.2,1.2,0.9,2,2020-09-06
27,DeBilt,7.8,8.3,7.7,2,2021-04-30
28,DeBilt,7.7,0.025,0.0,2,2021-05-01
29,DeBilt,6.8,0.025,0.0,2,2021-05-02
30,DeBilt,9.9,0.2,0.7,3,2021-05-03
31,DeBilt,9.0,6.7,6.3,5,2021-05-04
32,DeBilt,7.1,4.2,3.7,3,2021-05-05
33,DeBilt,5.9,4.2,2.9,2,2021-05-06
34,DeBilt,6.5,1.5,0.9,2,2021-05-07
35,DeBilt,10.4,2.5,3.7,3,2021-05-08
36,DeBilt,18.5,1.5,0.9,3,2021-05-09
0,Twenthe,7.9,9.2,8.3,3,2018-05-01
1,Twenthe,10.9,0.2,1.4,3,2018-05-02
2,Twenthe,10.4,0.0,0.0,2,2018-05-03
3,Twenthe,11.9,0.0,0.0,2,2018-05-04
4,Twenthe,14.7,0.0,0.0,2,2018-05-05
5,Twenthe,17.2,0.0,0.0,2,2018-05-06
6,Twenthe,18.0,0.0,0.0,2,2018-05-07
7,Twenthe,19.1,0.0,0.0,2,2018-05-08
8,Twenthe,17.9,0.0,0.0,2,2018-05-09
9,Twenthe,9.1,0.0,0.0,2,2019-05-01
10,Twenthe,9.3,5.1,2.9,2,2019-05-02
11,Twenthe,8.0,2.4,4.8,2,2019-05-03
12,Twenthe,6.5,0.9,0.7,3,2019-05-04
13,Twenthe,6.7,0.6,0.8,2,2019-05-05
14,Twenthe,6.6,0.1,0.1,2,2019-05-06
15,Twenthe,8.1,0.2,0.3,2,2019-05-07
16,Twenthe,10.2,2.4,1.1,3,2019-05-08
17,Twenthe,12.4,3.2,1.7,2,2019-05-09
18,Twenthe,14.9,1.4,0.6,2,2020-08-29
19,Twenthe,15.3,5.7,2.7,3,2020-08-30
20,Twenthe,14.5,0.0,0.0,2,2020-08-31
21,Twenthe,13.5,0.0,0.0,2,2020-09-01
22,Twenthe,14.8,0.0,0.0,1,2020-09-02
23,Twenthe,16.3,12.2,11.0,3,2020-09-03
24,Twenthe,17.3,2.1,2.0,2,2020-09-04
25,Twenthe,14.8,8.6,2.4,2,2020-09-05
26,Twenthe,14.2,1.2,0.9,2,2020-09-06
27,Twenthe,7.8,8.3,7.7,2,2021-04-30
28,Twenthe,7.7,0.025,0.0,2,2021-05-01
29,Twenthe,6.8,0.025,0.0,2,2021-05-02
30,Twenthe,9.9,0.2,0.7,3,2021-05-03
31,Twenthe,9.0,6.7,6.3,5,2021-05-04
32,Twenthe,7.1,4.2,3.7,3,2021-05-05
33,Twenthe,5.9,4.2,2.9,2,2021-05-06
34,Twenthe,6.5,1.5,0.9,2,2021-05-07
35,Twenthe,10.4,2.5,3.7,3,2021-05-08
36,Twenthe,18.5,1.5,0.9,3,2021-05-09
0,Eelde,7.9,9.2,8.3,3,2018-05-01
1,Eelde,10.9,0.2,1.4,3,2018-05-02
2,Eelde,10.4,0.0,0.0,2,2018-05-03
3,Eelde,11.9,0.0,0.0,2,2018-05-04
4,Eelde,14.7,0.0,0.0,2,2018-05-05
5,Eelde,17.2,0.0,0.0,2,2018-05-06
6,Eelde,18.0,0.0,0.0,2,2018-05-07
7,Eelde,19.1,0.0,0.0,2,2018-05-08
8,Eelde,17.9,0.0,0.0,2,2018-05-09
9,Eelde,9.1,0.0,0.0,2,2019-05-01
10,Eelde,9.3,5.1,2.9,2,2019-05-02
11,Eelde,8.0,2.4,4.8,2,2019-05-03
12,Eelde,6.5,0.9,0.7,3,2019-05-04
13,Eelde,6.7,0.6,0.8,2,2019-05-05
14,Eelde,6.6,0.1,0.1,2,2019-05-06
15,Eelde,8.1,0.2,0.3,2,2019-05-07
16,Eelde,10.2,2.4,1.1,3,2019-05-08
17,Eelde,12.4,3.2,1.7,2,2019-05-09
18,Eelde,14.9,1.4,0.6,2,2020-08-29
19,Eelde,15.3,5.7,2.7,3,2020-08-30
20,Eelde,14.5,0.0,0.0,2,2020-08-31
21,Eelde,13.5,0.0,0.0,2,2020-09-01
22,Eelde,14.8,0.0,0.0,1,2020-09-02
23,Eelde,16.3,12.2,11.0,3,2020-09-03
24,Eelde,17.3,2.1,2.0,2,2020-09-04
25,Eelde,14.8,8.6,2.4,2,2020-09-05
26,Eelde,14.2,1.2,0.9,2,2020-09-06
27,Eelde,7.8,8.3,7.7,2,2021-04-30
28,Eelde,7.7,0.025,0.0,2,2021-05-01
